,no_rerank,with_rerank
faithfulness,0.9415239726175945,0.9586379401739094
answer_relevancy,0.7766165790750386,0.7860021519023739
context_precision,0.9076929011958759,0.9258069521655151
context_recall,0.9152099607406871,0.9142300013748877
answer_correctness,0.7681438433490783,0.7755736714738922
